iter	RMSE
0	43.73109982
1	43.62464668
2	43.53972444
3	43.45384976
4	43.36021392
5	43.2675833
6	43.18300197
7	43.07720946
8	42.97861729
9	42.88503338
10	42.8170139
11	42.71043429
12	42.64711664
13	42.58753684
14	42.5450921
15	42.49230794
16	42.43816569
17	42.39465718
18	42.35842665
19	42.26602358
20	42.17598653
21	42.08820672
22	41.97095985
23	41.9349431
24	41.8989877
25	41.81502305
26	41.78113636
27	41.71977247
28	41.65238056
29	41.57847696
30	41.52692992
31	41.49431265
32	41.41491654
33	41.36391587
34	41.28487286
35	41.24489453
36	41.15981745
37	41.10690989
38	41.03010909
39	40.94586377
40	40.87394929
41	40.80475892
42	40.73475546
43	40.68819605
44	40.60474841
45	40.52915887
46	40.41667558
47	40.32989456
48	40.26397983
49	40.19991386
50	40.10982464
51	40.05245086
52	40.0228508
53	39.93580083
54	39.9034822
55	39.86732956
56	39.82847664
57	39.76620942
58	39.73167151
59	39.67983706
60	39.6282618
61	39.4718217
62	39.38956214
63	39.31888922
64	39.25331488
65	39.21268585
66	39.16000263
67	39.13478516
68	39.07865283
69	39.02590728
70	38.94123129
71	38.88327222
72	38.85903692
73	38.80595068
74	38.76800573
75	38.71648827
76	38.66867041
77	38.64543774
78	38.59034665
79	38.54168297
80	38.49707374
81	38.4547394
82	38.43274969
83	38.39817854
84	38.30869025
85	38.2660141
86	38.21089362
87	38.17885701
88	38.15111338
89	38.09721705
90	38.06740446
91	38.02736224
92	37.94748823
93	37.77820224
94	37.729141
95	37.70370415
96	37.53624403
97	37.48906183
98	37.46064908
99	37.41943445
100	37.399128
101	37.36443259
102	37.32230212
103	37.28649544
104	37.2590237
105	37.21381858
106	37.18541547
107	37.16675093
108	37.11914332
109	37.0794786
110	37.04303879
111	37.00874824
112	36.94014673
113	36.86304054
114	36.81287863
115	36.75924178
116	36.62417783
117	36.58986521
118	36.53693665
119	36.50535326
120	36.49260935
121	36.44163016
122	36.40053955
123	36.36533844
124	36.32839165
125	36.30801477
126	36.2861425
127	36.27008803
128	36.23663939
129	36.20050504
130	36.18392853
131	36.11971666
132	35.96966036
133	35.89533765
134	35.85424966
135	35.82181643
136	35.7953002
137	35.7562772
138	35.7187555
139	35.70312756
140	35.67239269
141	35.62663142
142	35.59492411
143	35.45568443
144	35.41062761
145	35.38791242
146	35.26115972
147	35.23025056
148	35.19476805
149	35.16498813
150	35.12391339
151	35.09698761
152	35.04077974
153	35.01372569
154	35.00101318
155	34.97315402
156	34.93154163
157	34.90648999
158	34.86521774
159	34.84276689
160	34.72128782
161	34.68342099
162	34.65704589
163	34.6316482
164	34.60935977
165	34.56577043
166	34.54139815
167	34.40963683
168	34.37838973
169	34.3548564
170	34.33859884
171	34.21989329
172	34.19460539
173	34.1780935
174	34.1469108
175	34.11513187
176	34.09036577
177	34.05282497
178	34.01585637
179	33.97902382
180	33.95894473
181	33.93795336
182	33.92034503
183	33.89732508
184	33.87795183
185	33.84393836
186	33.81612485
187	33.74072079
188	33.66639084
189	33.64689977
190	33.58761867
191	33.57004998
192	33.44488849
193	33.395425
194	33.36024096
195	33.23844759
196	33.21905751
197	33.10611869
198	33.06884173
199	33.03590814
