Tablo 1
;;;;;;;;;;;;;;
ATM Term ID;ATM Adı;model;Nakit Merkezi;Planlı Hizmet Günleri;Zone;KM;PLANLI ATM NAKİT İKMAL;PLANLI FLM;SLM;PLANLI ATM MADENİ İKMAL;PLANLI ATM PARA TOPLAMA;PLANLI ATM PARA TOPLAMA + İKMAL;PLANLI ATM PARA TOPLAMA + FLM;
FS174;07 MURATPASA TERRA CITY AVM;I47DC0C;ANTALYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS528;59 SULEYMANPASA MURATLI CD;I37DC0C;ÇORLU;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;2;44;2.178,08 ;2.178,08 ;2.679,66 ;2.178,08 ;2.178,08 ;2.178,08 ;2.178,08 ;
FN378;42 SELCUKLU MAKRO AVM;I47DC0C;KONYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC805;34 A.KOY IST HAVALIMANI 3;H68VL-824;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC047;34 KADIKOY IBB S.CESME METROBUS GIRISI;I37DC0C;KOZYATAĞI;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS555;41 DILOVASI MERKEZ;I37DC0C;İZMİT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;2;34;1.819,88 ;1.819,88 ;2.321,46 ;1.819,88 ;1.819,88 ;1.819,88 ;1.819,88 ;
FA993;34 ESENYURT INNOVIA3;H68N-806;BEYLİKDÜZÜ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC062;32 MERKEZ IYAS BULVAR AVM;H68N-806;ISPARTA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI630;16 OSMANGAZI HIPODROM;I37DC0C;BURSA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD837;07 KEPEZ GUNDOGDU MAH.;I37DC0C;ANTALYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS679;06 Y.MAH BATIKENT GIMSA;I37DC0C;ANKARA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS215;58 MERKEZ H. ISIK CAD.;H68N;SİVAS;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC557;77 MERKEZ VEGA AVM;H68N-806;BURSA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;2;63;2.858,66 ;2.858,66 ;3.360,24 ;2.858,66 ;2.858,66 ;2.858,66 ;2.858,66 ;
FD402;34 ESENYURT TONGUC BABA CAD.;H68V-824;BEYLİKDÜZÜ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC727;34 ESENLER TERAZIDERE METRO;I47DC0C;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI476;34 ESENYURT HAST. KR 2;I37DC0C;BEYLİKDÜZÜ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS835;65 IPEKYOLU MIGROS;I37DC0C;VAN;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC285;34 AVCILAR MEYDAN 1;H68V-824;BEYLİKDÜZÜ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD737;33 AKDENIZ TIRMIL SANAYI;H68N;MERSİN;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FN277;34 FATIH HISTORIA AVM;I47DC0C;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI197;26 ODUNPAZARI TASBASI;I37DC0C;ESKİŞEHİR;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS795;63 EYYUBIYE BALIKLIGOL AKABE 1;H68N-806;ŞANLIURFA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC775;34 BEYOGLU GALATAPORT;H68VL-815;MASLAK;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC582;43 MERKEZ YENIDOGAN OPET;H68N-806;ESKİŞEHİR;PAZARTESİ - ÇARŞAMBA - CUMA;3;82;3.539,24 ;3.539,24 ;4.040,82 ;3.539,24 ;3.539,24 ;3.539,24 ;3.539,24 ;
FD337;16 YILDIRIM 1. MARMARA SK;H68V-824;BURSA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD200;02 KAHTA KUBILAY IOO.;I37DC0C;ŞANLIURFA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;5;168;6.619,76 ;6.619,76 ;7.121,34 ;6.619,76 ;6.619,76 ;6.619,76 ;6.619,76 ;
FA726;07 ALANYA KONAKLI;I37DC0C;ALANYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC277;09 DIDIM ALTINKUM MH.;I37DC0C;AYDIN;SALI - CUMA;3;101;4.219,82 ;4.219,82 ;4.721,40 ;4.219,82 ;4.219,82 ;4.219,82 ;4.219,82 ;
FA180;44 BATTALGAZI TOPTAS CD.;H68V-824;MALATYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD891;34 SARIYER VODAFONE PLAZA;I47DC0C;MASLAK;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC519;59 CORLU MERTUL TEKS.;H68N-806;ÇORLU;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FA294;16 YILDIRIM MILLET 3;H68N;BURSA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD328;34 BUYUKCEKMECE MIMARSINAN TOTAL;H68V-824;BEYLİKDÜZÜ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FN843;35 ODEMIS MERKEZ;I37DC0C;İZMİR;PAZARTESİ - ÇARŞAMBA - CUMA;3;116;4.757,12 ;4.757,12 ;5.258,70 ;4.757,12 ;4.757,12 ;4.757,12 ;4.757,12 ;
FD726;16 OSMANGAZI CIFTEHAVUZLAR MH;H68V-824;BURSA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD287;43 SIMAV MERKEZ 2;H68V-824;UŞAK;ÇARŞAMBA - CUMA;3;91;3.861,62 ;3.861,62 ;4.363,20 ;3.861,62 ;3.861,62 ;3.861,62 ;3.861,62 ;
FD705;07 ALANYA PAYALLAR GRAND KOLIBRI;I37DC0C;ALANYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC248;34 BASAKSEHIR METRO SANTIYESI;I37DC0C;GÜNEŞLİ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD288;33 AKDENIZ MESUDIYE 2;H68V-824;MERSİN;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC596;41 GEBZE YENI BAGDAT CD.;H68V-824;MALTEPE;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI986;27 ROYAL GAZIANTEP HOTEL;H68N-806;GAZİANTEP;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FB332;35 BORNOVA OTOGAR 1;H68N-806;İZMİR;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD955;34 GUNGOREN BELEDIYE ONU;I37DC0C;GÜNEŞLİ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI388;58 MERKEZ OTOGAR;H68VL-824;SİVAS;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD684;07 ALANYA AZURA WORLD;H68V-824;ALANYA;PAZARTESİ - ÇARŞAMBA - CUMA;2;22;1.390,04 ;1.390,04 ;1.891,62 ;1.390,04 ;1.390,04 ;1.390,04 ;1.390,04 ;
FD609;06 Y.MAHALLE ERGAZI MH. GALA SOKAGI;I37DC0C;ANKARA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC799;48 BODRUM GUVERCINLIK;H68V-824;BODRUM;PAZARTESİ - PERŞEMBE;2;34;1.819,88 ;1.819,88 ;2.321,46 ;1.819,88 ;1.819,88 ;1.819,88 ;1.819,88 ;
FI611;01 KARATAS MERKEZ;H68V-824;ADANA;SALI - PERŞEMBE;2;51;2.428,82 ;2.428,82 ;2.930,40 ;2.428,82 ;2.428,82 ;2.428,82 ;2.428,82 ;
FD478;16 KARACABEY SIRABADEMLER MH;I37DC0C;BURSA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;3;76;3.324,32 ;3.324,32 ;3.825,90 ;3.324,32 ;3.324,32 ;3.324,32 ;3.324,32 ;
FI080;06 AKYURT MERKEZ;H68V-824;ANKARA;PAZARTESİ - ÇARŞAMBA - CUMA;2;36;1.891,52 ;1.891,52 ;2.393,10 ;1.891,52 ;1.891,52 ;1.891,52 ;1.891,52 ;
FA161;34 FATIH KARAGUMRUK;H68N;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FA376;07 ALANYA OBA;I37DC0C;ALANYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FA175;55 SALIPAZARI MERKEZ;H68NL-806;SAMSUN;PAZARTESİ - ÇARŞAMBA - CUMA;2;66;2.966,12 ;2.966,12 ;3.467,70 ;2.966,12 ;2.966,12 ;2.966,12 ;2.966,12 ;
FS842;34 AVCILAR DENIZKOSKLER;I37DC0C;BEYLİKDÜZÜ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS023;07 KEPEZ SPOR SALONU;I37DC0C;ANTALYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS862;54 A.PAZARI EGITIM ARASTIRMA HAS.;H68N-806;İZMİT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;2;58;2.679,56 ;2.679,56 ;3.181,14 ;2.679,56 ;2.679,56 ;2.679,56 ;2.679,56 ;
FD710;34 KUCUKCEKMECE TEMA WORLD AVM;H68VL-824;GÜNEŞLİ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD777;07 KONYAALTI HURMA MAH.;I37DC0C;ANTALYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS867;77 CIFTLIKKOY MERKEZ;I37DC0C;BURSA;PAZARTESİ - ÇARŞAMBA - CUMA;2;66;2.966,12 ;2.966,12 ;3.467,70 ;2.966,12 ;2.966,12 ;2.966,12 ;2.966,12 ;
FI733;36 MERKEZ KARADAG CAD;H68N-806;ERZURUM;SALI - PERŞEMBE - CUMA;4;206;7.980,92 ;7.980,92 ;8.482,50 ;7.980,92 ;7.980,92 ;7.980,92 ;7.980,92 ;
FC896;34 BAGCILAR DAGYOLU OPET 2;I37DC0C;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD647;34 TUZLA AYDINLI GURPINAR CAD.;I37DC0C;MALTEPE;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC827;35 CESME ALACATI MIGROS;H68V-824;İZMİR;PAZARTESİ - ÇARŞAMBA - CUMA;3;103;4.291,46 ;4.291,46 ;4.793,04 ;4.291,46 ;4.291,46 ;4.291,46 ;4.291,46 ;
FA115;16 YILDIRIM MILLET 2;I37DC0C;BURSA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD699;22 KESAN ERIKLI MH.;I37DC0C;EDİRNE;SALI - PERŞEMBE;4;142;5.688,44 ;5.688,44 ;6.190,02 ;5.688,44 ;5.688,44 ;5.688,44 ;5.688,44 ;
FD275;34 BEYKOZ KAVACIK MOBIL ATM;I47DC0C;ÜMRANİYE;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI267;59 CERKEZKOY DEVLET HAST.;I37DC0C;ÇORLU;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;2;27;1.569,14 ;1.569,14 ;2.070,72 ;1.569,14 ;1.569,14 ;1.569,14 ;1.569,14 ;
FD555;34 BESIKTAS AKATLAR MKM AVM;I37DC0C;MASLAK;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC022;48 MARMARIS ICMELER;H68V-824;MUĞLA;SALI - CUMA;2;67;3.001,94 ;3.001,94 ;3.503,52 ;3.001,94 ;3.001,94 ;3.001,94 ;3.001,94 ;
FA779;34 MALTEPE ALTAYCESME;H68N-806;MALTEPE;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI444;60 MERKEZ NOVADA AVM;H68VL-824;SİVAS;SALI - PERŞEMBE;4;112;4.613,84 ;4.613,84 ;5.115,42 ;4.613,84 ;4.613,84 ;4.613,84 ;4.613,84 ;
FS830;34 BEYKOZ OTAGTEPE;I37DC0C;ÜMRANİYE;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FA512;34 ESENLER IBB MENDERES MH. 2;I37DC0C;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI699;09 EFELER KURTULUS MH;H68V-824;AYDIN;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FB501;34 BAHCELIEVLER KADIR HAS CENTER;I47DC0C;GÜNEŞLİ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FN520;34 AVCILAR PARSELLER;H68V-824;BEYLİKDÜZÜ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI194;38 M.GAZI ORGANIZE SAN.;I37DC0C;KAYSERİ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC265;34 BAGCILAR GUNESLI NUROL TOWER;H68NL-806;GÜNEŞLİ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC098;16 IZNIK BEYLER MH.;H68N;BURSA;PAZARTESİ - ÇARŞAMBA - CUMA;3;82;3.539,24 ;3.539,24 ;4.040,82 ;3.539,24 ;3.539,24 ;3.539,24 ;3.539,24 ;
FA426;35 ESKI FOCA MERKEZ;H68V-824;İZMİR;SALI - PERŞEMBE;2;63;2.858,66 ;2.858,66 ;3.360,24 ;2.858,66 ;2.858,66 ;2.858,66 ;2.858,66 ;
FI512;47 NUSAYBIN MERKEZ;H68V-824;DİYARBAKIR;PAZARTESİ - SALI - ÇARŞAMBA - CUMA;4;155;6.154,10 ;6.154,10 ;6.655,68 ;6.154,10 ;6.154,10 ;6.154,10 ;6.154,10 ;
FC873;35 SELCUK AQUA FANTASY;I37DC0C;AYDIN;PAZARTESİ - PERŞEMBE;3;71;3.145,22 ;3.145,22 ;3.646,80 ;3.145,22 ;3.145,22 ;3.145,22 ;3.145,22 ;
FC825;34 ZEYTINBURNU 2. MATBAACILAR SIT.;H68N-806;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC566;34 SULTANBEYLI BOSNA BLV.;H68N-806;ÜMRANİYE;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FA103;52 KUMRU MERKEZ;H68V-824;ORDU;SALI - PERŞEMBE;3;77;3.360,14 ;3.360,14 ;3.861,72 ;3.360,14 ;3.360,14 ;3.360,14 ;3.360,14 ;
FD880;16 NILUFER KAVAKDERE CAD.;I37DC0C;BURSA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS200;09 EFELER YEDI EYLUL BP;H68NL;AYDIN;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC713;34 ATASEHIR IBB YENISAHRA;H68V-824;KOZYATAĞI;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC416;36 MERKEZ PASACAYIR MH.;H68N-806;ERZURUM;SALI - PERŞEMBE - CUMA;4;206;7.980,92 ;7.980,92 ;8.482,50 ;7.980,92 ;7.980,92 ;7.980,92 ;7.980,92 ;
FI767;07 KEMER GOYNUK;H68V-824;ANTALYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS381;33 TARSUS MERKEZ 1;I37DC0C;MERSİN;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;2;55;2.572,10 ;2.572,10 ;3.073,68 ;2.572,10 ;2.572,10 ;2.572,10 ;2.572,10 ;
FC917;26 ODUNPAZARI YANDAS SK.;I37DC0C;ESKİŞEHİR;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD526;34 FATIH IBB NAMIK KEMAL CD;H68V-824;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FB152;34 ZEYTINBURNU OLIVIUM C.FOUR;H68V-824;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC597;35 KARABAGLAR SELVILI MH;H68V-824;İZMİR;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD226;16 ORHANGAZI SS61 TASIYICILAR KOOP.;H68N-806;BURSA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;2;42;2.106,44 ;2.106,44 ;2.608,02 ;2.106,44 ;2.106,44 ;2.106,44 ;2.106,44 ;
FN207;35 KARABAGLAR Y.YURT;H68N;İZMİR;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS959;16 KESTEL COCA COLA;I37DC0C;BURSA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS534;37 MERKEZ BARUTCUOGLU AVM;H68NL-806;KASTAMONU;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS930;35 KONAK KEMERALTI;I37DC0C;İZMİR;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC693;34 B.PASA KOCATEPE METRO;H68V-824;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC480;41 CAYIROVA FATIH CAD.;H68V-824;MALTEPE;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI586;45 SOMA BESYOL;H68V-824;İZMİR;SALI - PERŞEMBE;3;124;5.043,68 ;5.043,68 ;5.545,26 ;5.043,68 ;5.043,68 ;5.043,68 ;5.043,68 ;
FC776;34 BUYUKCEKMECE MIMAROBA;H68V-824;BEYLİKDÜZÜ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD257;07 MANAVGAT NOVAMALL AVM;I47DC0C;ANTALYA;SALI - PERŞEMBE;2;76;3.324,32 ;3.324,32 ;3.825,90 ;3.324,32 ;3.324,32 ;3.324,32 ;3.324,32 ;
