Tablo 1
;;;;;;;;;;;;;;
ATM Term ID;ATM Adı;model;Nakit Merkezi;Planlı Hizmet Günleri;Zone;KM;PLANLI ATM NAKİT İKMAL;PLANLI FLM;SLM;PLANLI ATM MADENİ İKMAL;PLANLI ATM PARA TOPLAMA;PLANLI ATM PARA TOPLAMA + İKMAL;PLANLI ATM PARA TOPLAMA + FLM;
FD266;34 SANCAKTEPE AQUA CITY;H68V-824;ÜMRANİYE;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC712;34 FATIH IBB GULHANE;H68V-824;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC500;35 TIRE CUMHURIYET MH. 2;H68V-824;İZMİR;PAZARTESİ - ÇARŞAMBA - CUMA;3;85;3.646,70 ;3.646,70 ;4.148,28 ;3.646,70 ;3.646,70 ;3.646,70 ;3.646,70 ;
FD033;34 SARIYER HUZUR MH.;H68N-806;MASLAK;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD678;20 MERKEZEFENDI SARAYLAR MH. 2;I37DC0C;DENİZLİ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC706;34 BESIKTAS IBB BESIKTAS CD.;I37DC0C;MASLAK;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC601;34 FATIH IBB LALELI MESIHPASA 1;I37DC0C;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD274;70 MERKEZ MOBIL ATM 1;I47DC0C;KONYA;PAZARTESİ - ÇARŞAMBA - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD836;07 KEPEZ UNSAL MAH.;I37DC0C;ANTALYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD129;59 KAPAKLI SAMET KALIP;I47DC0C;ÇORLU;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;2;29;1.640,78 ;1.640,78 ;2.142,36 ;1.640,78 ;1.640,78 ;1.640,78 ;1.640,78 ;
